Inference for Stan model: process_sdm_based_on_20221003.
3 chains, each with iter=4000; warmup=2000; thin=10; 
post-warmup draws per chain=200, total post-warmup draws=600.

mean      se_mean           sd          2.5%           25%
raw[21]                      8.000000e-01 3.000000e-02 5.900000e-01 -5.200000e-01  4.700000e-01
raw[22]                      4.800000e-01 3.000000e-02 6.200000e-01 -8.300000e-01  1.000000e-01
raw[23]                     -2.100000e-01 2.000000e-02 5.600000e-01 -1.450000e+00 -5.200000e-01
raw[24]                     -6.200000e-01 2.000000e-02 5.700000e-01 -1.940000e+00 -9.800000e-01
raw[25]                      2.000000e-01 2.000000e-02 5.200000e-01 -9.500000e-01 -1.300000e-01
p_length_50_sel              2.100000e-01 1.000000e-02 1.600000e-01 -1.300000e-01  1.100000e-01
beta_obs                     0.000000e+00 0.000000e+00 0.000000e+00  0.000000e+00  0.000000e+00
theta_d                      5.000000e-01 0.000000e+00 1.000000e-01  2.900000e-01  4.400000e-01
h                            4.900000e-01 1.000000e-02 2.800000e-01  3.000000e-02  2.500000e-01
log_r0                      -2.712640e+11 1.533128e+11 4.099204e+11 -1.578840e+12 -3.131734e+11
T_adjust[1,1]                8.200000e-01 1.000000e-02 1.900000e-01  3.600000e-01  7.100000e-01
T_adjust[1,2]                8.200000e-01 1.000000e-02 1.900000e-01  3.600000e-01  7.100000e-01
T_adjust[1,3]                8.200000e-01 1.000000e-02 1.900000e-01  3.700000e-01  7.200000e-01
T_adjust[1,4]                8.300000e-01 1.000000e-02 1.800000e-01  3.900000e-01  7.400000e-01
T_adjust[1,5]                8.300000e-01 1.000000e-02 1.800000e-01  3.900000e-01  7.400000e-01
T_adjust[1,6]                8.300000e-01 1.000000e-02 1.800000e-01  3.900000e-01  7.400000e-01
T_adjust[1,7]                8.300000e-01 1.000000e-02 1.800000e-01  3.900000e-01  7.400000e-01
T_adjust[1,8]                8.300000e-01 1.000000e-02 1.800000e-01  4.000000e-01  7.500000e-01
T_adjust[1,9]                8.400000e-01 1.000000e-02 1.700000e-01  4.100000e-01  7.600000e-01
T_adjust[1,10]               8.400000e-01 1.000000e-02 1.700000e-01  4.200000e-01  7.600000e-01
T_adjust[1,11]               8.500000e-01 1.000000e-02 1.600000e-01  4.400000e-01  7.700000e-01
T_adjust[1,12]               8.400000e-01 1.000000e-02 1.700000e-01  4.000000e-01  7.500000e-01
T_adjust[1,13]               8.600000e-01 1.000000e-02 1.500000e-01  4.800000e-01  7.900000e-01
T_adjust[1,14]               8.400000e-01 1.000000e-02 1.700000e-01  4.100000e-01  7.600000e-01
T_adjust[1,15]               8.300000e-01 1.000000e-02 1.800000e-01  3.800000e-01  7.300000e-01
T_adjust[1,16]               8.300000e-01 1.000000e-02 1.800000e-01  3.800000e-01  7.300000e-01
T_adjust[1,17]               8.400000e-01 1.000000e-02 1.700000e-01  4.100000e-01  7.600000e-01
T_adjust[1,18]               8.200000e-01 1.000000e-02 1.900000e-01  3.700000e-01  7.200000e-01
T_adjust[1,19]               8.200000e-01 1.000000e-02 1.800000e-01  3.700000e-01  7.200000e-01
T_adjust[1,20]               8.300000e-01 1.000000e-02 1.800000e-01  3.900000e-01  7.400000e-01
T_adjust[1,21]               8.400000e-01 1.000000e-02 1.700000e-01  4.100000e-01  7.600000e-01
