Longitude,Latitude ,Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.75,34.25,10.80934048,27.20663643,19.87440785,0.000218322,8.718003273,25.70238113,17.9761912,0.0002181,10.23432159,26.02557182,18.6043462,0.000202588,11.27192211,27.21972656,18.82987102,0.000214674,9.362789154,24.97783852,17.76717504,0.000208554,9.381638527,25.21907806,18.79682724,0.000212465,10.8037281,25.27836037,18.63969485,0.000215073,10.5606432,28.21092606,18.75062307,0.000221351,10.27323151,25.52491379,18.31776587,0.000224387,11.68934727,26.91849709,18.95141069,0.000210629,10.08670712,28.5645237,19.99468946,0.000213383,12.36209583,25.82691002,19.40268262,0.000212715,11.22650146,26.89841652,19.01317573,0.000220927,10.85107994,27.75995255,18.39142354,0.000203615,9.988512039,25.63963127,19.11499246,0.000222283,10.16189861,27.27350807,19.29861705,0.00021163,9.681789398,26.55904961,18.43153612,0.00022452,11.9024744,26.88572121,19.51932963,0.00022211,11.74786091,27.00395966,19.18145792,0.000209658,12.42619419,25.34448624,19.10176404,0.000218926,10.27585793,26.28426933,18.7353406,0.000221083,9.203258514,26.53092575,18.73483801,0.00022063,11.90418816,27.17249298,19.95888972,0.000221122,9.867729187,24.02374268,17.83508555,0.00020589,9.802737236,25.92290878,18.23518133,0.000214409,9.451806068,26.20758438,18.24358273,0.000215982,11.57697201,25.97513008,18.77291719,0.000204606,10.12249565,27.69615746,19.57786902,0.000221965,12.34830666,26.62358665,19.03783766,0.000205722,10.67961597,25.22662354,18.72794445,0.000212147,9.134785652,27.57287216,17.66003656,0.000201802,8.277889252,26.60465431,18.34991701,0.000199844,12.76416111,24.97855568,19.1209863,0.000207269,12.07021427,26.2571125,18.29717771,0.000209482,10.6008234,27.15526772,18.98187176,0.000205066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.25,34.75,2.589297533,2.872829199,2.666691152,0.000263765,2.648596048,3.052306652,2.873066902,0.000270635,2.756450891,3.238890171,3.036720892,0.000266612,3.045562983,3.220356464,3.125152787,0.000266096,2.901536942,3.279219627,3.147403816,0.000267912,3.007088184,3.238839388,3.12906305,0.000266171,2.929047585,3.211415529,3.124559661,0.000264292,3.006286383,3.229691505,3.10067596,0.000263848,3.077502489,3.263596058,3.150741557,0.000263458,2.925005436,3.351878166,3.108843029,0.000261768,2.956713438,3.46715641,3.235689044,0.000262597,2.771933317,3.249974012,2.971815666,0.000264356,2.88262248,3.496883154,3.243490338,0.000261425,2.800053358,3.230196714,3.033965349,0.000266251,2.700739384,3.321506739,2.991256317,0.000263167,2.857464075,3.358849764,2.991870165,0.000265174,2.892942905,3.359257698,3.073643843,0.000263809,2.735677481,3.11081481,2.900415937,0.000264199,2.703347683,3.047101021,2.87377127,0.000264359,2.763841152,3.342995644,3.029384971,0.000262838,2.902562141,3.401300907,3.129175564,0.00026453,2.910923481,3.416132212,3.233610292,0.000261265,2.854626894,3.145204544,3.007823626,0.000264473,2.877779245,3.260249853,3.068357905,0.000266395,2.822233438,3.081208706,2.973373016,0.000266052,2.634503603,3.055596113,2.857841671,0.000267918,2.60933423,3.107432842,2.905180534,0.000265005,2.808480024,3.233772516,3.032051484,0.000266216,3.021101475,3.323224068,3.164914509,0.000268808,2.983174324,3.307919264,3.137651861,0.000264535,3.175379038,3.382320166,3.274567485,0.000268417,2.991863012,3.284408092,3.137626429,0.000266987,3.052857399,3.329908609,3.217481911,0.000266351,2.980065346,3.367411852,3.196244756,0.000266223,3.0224545,3.498104334,3.288666248,0.00026656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.75,34.75,16.64292145,20.498703,18.15264511,0.000182122,14.97941303,21.10408401,17.80593268,0.000196382,14.73152351,22.61416626,18.31533988,0.000198604,15.73589897,22.72657776,18.57669465,0.000193115,14.55904865,22.25971985,18.45560368,0.000197974,14.41510201,23.10844231,18.6981949,0.000195871,14.88314629,23.34810448,18.86640286,0.000200749,15.28800678,22.43068123,18.51531315,0.000200241,15.54582024,21.94508743,18.62537368,0.00019946,17.23154259,24.06814384,19.39923414,0.000191827,15.87007141,23.71560478,19.15486193,0.00019306,16.45994759,22.59480667,19.47574313,0.000196678,12.64122868,21.49006271,18.15882309,0.000205573,10.99188042,21.67826653,17.72313333,0.000198687,15.57347298,22.89539146,19.13886499,0.000197814,16.01502228,25.08209229,19.8669521,0.000196677,13.27341843,23.75646591,18.29234417,0.000198205,16.63804436,21.58754921,18.75870689,0.000192467,13.17173958,21.41385078,18.14072164,0.000193567,16.32090569,22.83671379,19.17470058,0.000196401,15.66682053,23.67689133,19.29777257,0.000199107,15.83687496,22.47514153,19.14788127,0.000197658,16.53785706,21.4202919,18.54875517,0.000189565,14.05804253,22.25584602,18.25335328,0.000195782,16.12321854,23.0413208,19.12003104,0.000193224,15.2001009,22.26313019,18.87110289,0.000197658,15.5250206,22.37117195,18.73146931,0.000197748,15.32060528,23.38922501,19.6087207,0.000197849,15.83846951,22.89432526,19.15545678,0.000193128,13.64718056,23.70423508,18.39425611,0.000195248,8.884389877,22.91576004,17.11858614,0.000207771,14.05616093,22.78530312,18.28368513,0.000195213,15.93857098,22.90267754,19.52154009,0.000194731,15.10334396,24.3189106,19.43969329,0.000196303,15.43689442,23.14546013,19.36442383,0.000191394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.25,34.75,12.46850777,23.67020035,18.47586502,0.000207394,12.1743536,24.99932098,17.84642482,0.000219973,10.80462074,25.06102371,18.11663636,0.000223111,10.71258736,26.58222771,18.29813345,0.00022096,10.67506123,24.78872108,18.0593636,0.000222149,9.789769173,25.07217789,18.59162418,0.000222869,11.06465149,24.50634766,17.99265997,0.000226021,9.362077713,26.81708717,17.75955796,0.000227807,11.33453178,24.58881378,17.71002094,0.00022379,12.11392879,26.48908615,18.79411276,0.00021987,12.26207924,27.58605385,19.5218002,0.000218676,12.53838634,24.4936161,18.83173688,0.000219457,11.69995403,24.61031342,18.07683746,0.000228029,9.731460571,25.20969009,17.69791468,0.000218554,10.43597317,24.49792671,18.26771728,0.000222798,10.40915012,25.84331322,18.79768896,0.000225264,9.784426689,26.3750267,17.74494012,0.000226173,11.36146736,25.93461418,18.52511899,0.000222102,10.92708015,26.52679443,18.49142607,0.00021729,11.53782845,25.20960808,18.60608514,0.000226246,11.34948349,25.58127785,18.57999206,0.000225481,11.88418484,25.70968819,18.61225605,0.000223751,12.63745689,25.414608,18.71094751,0.000217181,10.0943861,24.58727074,17.70264045,0.000221124,10.16974735,25.34226799,18.09815121,0.0002199,8.214998245,25.96297264,17.80411561,0.000223213,11.6982336,24.77694511,18.10788695,0.000223007,10.16572285,26.5494957,18.83806268,0.000223871,13.12782669,25.66456795,18.55706056,0.00021427,11.23399258,25.2005825,18.15400656,0.0002166,8.485515594,27.04574394,17.07338047,0.000228059,8.577457428,25.83725548,18.00798138,0.000217013,12.35640335,24.96669579,18.83029175,0.000216819,11.36482716,25.85037804,18.05878838,0.000220944,10.56997013,25.51695061,18.87382015,0.000218009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.75,34.75,10.11835766,25.7456665,18.74621955,0.00020003,8.527173042,24.57722664,17.11971887,0.000201171,9.189360619,25.7970047,18.17755183,0.000197619,10.60956097,26.71434975,18.24020974,0.000204025,9.241602898,24.72357559,17.53003454,0.000189404,8.032637596,25.62255669,18.1057446,0.00020721,9.85251236,24.82029152,18.01438729,0.000207944,9.781798363,28.49555397,18.01341208,0.000216054,9.732709885,24.98801422,17.48710148,0.000212948,11.27767944,27.10272789,18.43469803,0.000196632,8.918710709,27.6193161,19.00025725,0.000192548,11.22266388,24.42713165,18.37840954,0.000198364,10.67000771,26.59230614,18.49828299,0.000223885,10.05686188,27.39698029,17.72530961,0.000193019,9.018642426,24.29529572,17.94106944,0.000205481,9.132160187,27.02334976,18.59658996,0.000213808,8.666859627,26.2258625,17.53411436,0.000203587,10.82828712,25.69449806,18.45842799,0.000207538,11.45304871,26.53282547,18.52852194,0.000196129,11.33916473,26.34569168,18.46748583,0.000216057,8.985839844,25.39105988,17.98860995,0.000201751,8.37460804,26.37790108,18.06378849,0.000209129,10.91622257,26.81345558,18.9218653,0.000209622,8.782759666,24.13492203,17.59329955,0.000197494,9.066165924,25.55649376,17.57679033,0.000192386,8.382941246,25.77774429,17.4933722,0.000212523,10.98472023,25.14974403,18.27865108,0.000194181,9.177025795,27.16962051,18.76682512,0.000213338,12.13869953,26.37300873,18.60452859,0.000185401,9.698533058,24.55289268,17.93629694,0.000169397,8.351258278,26.72646141,16.83465679,0.000176356,7.935578346,26.11713409,17.75457493,0.000144829,12.12226009,24.20740128,18.44322324,0.000176645,11.11325932,25.52849579,17.66164104,0.00018396,9.621481895,26.12308311,18.39408962,0.000162569
